edge_id,供方,需方,占比或金额,财年,边等级,证据文件,锚点,验证状态,备注
D001,光迅科技,客户第1名(匿名),15.24%(1006682470.32元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:客户一
D002,光迅科技,客户第2名(匿名),7.65%(505298944.03元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:客户二
D003,光迅科技,烽火通信科技股份有限公司,5.59%(369224117.92元),2023,实边,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,关联方锁定候选
D004,光迅科技,客户第4名(匿名),4.10%(270770349.70元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:客户四
D005,光迅科技,客户第5名(匿名),3.63%(240067597.33元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:客户五
D006,供应商第1名(匿名),光迅科技,4.77%(207738426.48元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:供应商 1
D007,供应商第2名(匿名),光迅科技,3.05%(132707616.65元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:供应商 2
D008,供应商第3名(匿名),光迅科技,3.01%(130930766.09元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:供应商 3
D009,供应商第4名(匿名),光迅科技,2.83%(122951930.75元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:供应商 4
D010,供应商第5名(匿名),光迅科技,2.42%(105514811.68元),2023,半边槽位,demo/data/002281/002281__em_光迅科技_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-26/1219826062.PDF,demo管线自动生成-未人工复核,原始名称:供应商 5
D011,光迅科技,客户第1名(匿名),12.42%(1123216719.41元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:客户 1
D012,光迅科技,客户第2名(匿名),9.47%(856489091.23元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:客户 2
D013,光迅科技,客户第3名(匿名),5.97%(540184946.18元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:客户 3
D014,光迅科技,客户第4名(匿名),5.61%(507468712.22元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:客户 4
D015,光迅科技,客户第5名(匿名),4.45%(402076321.03元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:客户 5
D016,供应商第1名(匿名),光迅科技,10.08%(899264700.94元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:供应商 1
D017,供应商第2名(匿名),光迅科技,5.96%(531734607.49元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:供应商 2
D018,供应商第3名(匿名),光迅科技,5.85%(521504849.00元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:供应商 3
D019,供应商第4名(匿名),光迅科技,3.14%(280333201.42元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:供应商 4
D020,供应商第5名(匿名),光迅科技,2.97%(264939351.72元),2024,半边槽位,demo/data/002281/002281__em_光迅科技_em__2024_2024年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2025-04-24/1223234851.PDF,demo管线自动生成-未人工复核,原始名称:供应商 5
D021,光迅科技,客户第1名(匿名),15.16%(1807934600.51元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:客户 1
D022,光迅科技,客户第2名(匿名),11.83%(1411719583.75元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:客户 2
D023,光迅科技,客户第3名(匿名),9.67%(1153229231.18元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:客户 3
D024,光迅科技,客户第4名(匿名),8.15%(971977854.41元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:客户 4
D025,光迅科技,客户第5名(匿名),3.68%(438552234.37元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:客户 5
D026,供应商第1名(匿名),光迅科技,8.81%(960791526.94元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:供应商 1
D027,供应商第2名(匿名),光迅科技,5.87%(640290662.04元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:供应商 2
D028,供应商第3名(匿名),光迅科技,4.34%(473876577.94元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:供应商 3
D029,供应商第4名(匿名),光迅科技,4.19%(456597551.95元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:供应商 4
D030,供应商第5名(匿名),光迅科技,3.46%(377894225.06元),2025,半边槽位,demo/data/002281/002281__em_光迅科技_em__2025_2025年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2026-04-23/1225148212.PDF,demo管线自动生成-未人工复核,原始名称:供应商 5
D031,中际旭创,客户第1名(匿名),36.30%(3890566262.38元),2023,半边槽位,demo/data/300308/300308__em_中际旭创_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-22/1219703026.PDF,demo管线自动生成-未人工复核,原始名称:客户 A
D032,中际旭创,客户第2名(匿名),12.03%(1289720577.91元),2023,半边槽位,demo/data/300308/300308__em_中际旭创_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-22/1219703026.PDF,demo管线自动生成-未人工复核,原始名称:客户 B
D033,中际旭创,客户第3名(匿名),11.53%(1235663919.23元),2023,半边槽位,demo/data/300308/300308__em_中际旭创_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-22/1219703026.PDF,demo管线自动生成-未人工复核,原始名称:客户 C
D034,中际旭创,客户第4名(匿名),10.45%(1120102993.17元),2023,半边槽位,demo/data/300308/300308__em_中际旭创_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-22/1219703026.PDF,demo管线自动生成-未人工复核,原始名称:客户 D
D035,中际旭创,客户第5名(匿名),3.40%(364782116.20元),2023,半边槽位,demo/data/300308/300308__em_中际旭创_em__2023_2023年年度报告.pdf,https://static.cninfo.com.cn/finalpage/2024-04-22/1219703026.PDF,demo管线自动生成-未人工复核,原始名称:客户 E
