月份,贸易伙伴,出口量kg,金额,币种,来源文件
202501,不丹,3,625,USD,customs-85177950-2025-breakdown-usd.csv
202501,中国台湾,20112,24160794,USD,customs-85177950-2025-breakdown-usd.csv
202501,中国澳门,5,8132,USD,customs-85177950-2025-breakdown-usd.csv
202501,中国香港,10404,16825029,USD,customs-85177950-2025-breakdown-usd.csv
202501,中非,41,12809,USD,customs-85177950-2025-breakdown-usd.csv
202501,丹麦,512,330617,USD,customs-85177950-2025-breakdown-usd.csv
202501,乌克兰,444,269932,USD,customs-85177950-2025-breakdown-usd.csv
202501,乌兹别克斯坦,238,189586,USD,customs-85177950-2025-breakdown-usd.csv
202501,乌干达,112,67839,USD,customs-85177950-2025-breakdown-usd.csv
202501,乌拉圭,36,30322,USD,customs-85177950-2025-breakdown-usd.csv
202501,乍得,14,2827,USD,customs-85177950-2025-breakdown-usd.csv
202501,也门,143,1075737,USD,customs-85177950-2025-breakdown-usd.csv
202501,亚美尼亚,28,6319,USD,customs-85177950-2025-breakdown-usd.csv
202501,以色列,822,709229,USD,customs-85177950-2025-breakdown-usd.csv
202501,伊拉克,1505,85784,USD,customs-85177950-2025-breakdown-usd.csv
202501,伊朗,958,21250,USD,customs-85177950-2025-breakdown-usd.csv
202501,佛得角,6,919,USD,customs-85177950-2025-breakdown-usd.csv
202501,俄罗斯,8627,3056195,USD,customs-85177950-2025-breakdown-usd.csv
202501,保加利亚,41,38353,USD,customs-85177950-2025-breakdown-usd.csv
202501,克罗地亚,43,1940,USD,customs-85177950-2025-breakdown-usd.csv
202501,冈比亚,1,240,USD,customs-85177950-2025-breakdown-usd.csv
202501,冰岛,211,1346667,USD,customs-85177950-2025-breakdown-usd.csv
202501,几内亚,1172,153990,USD,customs-85177950-2025-breakdown-usd.csv
202501,列支敦士登,3,4004,USD,customs-85177950-2025-breakdown-usd.csv
202501,刚果民主共和国,40,3366,USD,customs-85177950-2025-breakdown-usd.csv
202501,利比亚,23,11787,USD,customs-85177950-2025-breakdown-usd.csv
202501,利比里亚,3,8683,USD,customs-85177950-2025-breakdown-usd.csv
202501,加拿大,2538,1165677,USD,customs-85177950-2025-breakdown-usd.csv
202501,加纳,11,1466,USD,customs-85177950-2025-breakdown-usd.csv
202501,加蓬,0,10,USD,customs-85177950-2025-breakdown-usd.csv
202501,匈牙利,4263,4206857,USD,customs-85177950-2025-breakdown-usd.csv
202501,北马其顿,1,277,USD,customs-85177950-2025-breakdown-usd.csv
202501,南苏丹,31,369,USD,customs-85177950-2025-breakdown-usd.csv
202501,南非,896,268812,USD,customs-85177950-2025-breakdown-usd.csv
202501,博茨瓦纳,46,25077,USD,customs-85177950-2025-breakdown-usd.csv
202501,卡塔尔,16,10931,USD,customs-85177950-2025-breakdown-usd.csv
202501,卢旺达,0,2356,USD,customs-85177950-2025-breakdown-usd.csv
