edge_id,供方,需方,占比或金额,财年,边等级,证据文件,锚点,验证状态,备注
EXXX,联讯仪器,集团一(匿名),35.51%,2025Q1,半边槽位,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（招股书匿名标签，未披露实名）｜出现期间：2025Q1/2024/2023
EXXX,联讯仪器,Power Master,9.06%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,"Power Master Semiconductor Co., Ltd.｜出现期间：2025Q1"
EXXX,联讯仪器,新易盛,8.29%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,成都新易盛通信技术股份有限公司及其合并报表范围内的子公司｜出现期间：2025Q1
EXXX,联讯仪器,讯速信远,5.47%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,成都讯速信远科技有限公司、讯速信远科技（苏州）有限公司等同一控制下公司｜出现期间：2025Q1/2022
EXXX,联讯仪器,光迅科技,4.31%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,武汉光迅科技股份有限公司及其合并报表范围内的子公司｜出现期间：2025Q1/2024/2022
EXXX,联讯仪器,集团一(匿名),16.92%,2024,半边槽位,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（招股书匿名标签，未披露实名）｜出现期间：2025Q1/2024/2023
EXXX,联讯仪器,光迅科技,7.57%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,武汉光迅科技股份有限公司及其合并报表范围内的子公司｜出现期间：2025Q1/2024/2022
EXXX,联讯仪器,士兰微,6.92%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,杭州士兰微电子股份有限公司及其合并报表范围内的子公司｜出现期间：2024
EXXX,联讯仪器,海信集团,6.54%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,青岛海信宽带多媒体技术有限公司、广东海信宽带科技有限公司等同一控制下公司｜出现期间：2024/2023/2022
EXXX,联讯仪器,中际旭创,6.26%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,中际旭创股份有限公司及其合并报表范围内的子公司｜出现期间：2024/2023
EXXX,联讯仪器,海信集团,15.33%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,青岛海信宽带多媒体技术有限公司、广东海信宽带科技有限公司等同一控制下公司｜出现期间：2024/2023/2022
EXXX,联讯仪器,中际旭创,14.75%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,中际旭创股份有限公司及其合并报表范围内的子公司｜出现期间：2024/2023
EXXX,联讯仪器,集团一(匿名),9.90%,2023,半边槽位,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（招股书匿名标签，未披露实名）｜出现期间：2025Q1/2024/2023
EXXX,联讯仪器,三安光电,6.81%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,三安光电股份有限公司及其合并报表范围内的子公司｜出现期间：2023/2022
EXXX,联讯仪器,集团二(匿名),6.03%,2023,半边槽位,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（招股书匿名标签，未披露实名）｜出现期间：2023
EXXX,联讯仪器,海信集团,14.02%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,青岛海信宽带多媒体技术有限公司、广东海信宽带科技有限公司等同一控制下公司｜出现期间：2024/2023/2022
EXXX,联讯仪器,光迅科技,11.53%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,武汉光迅科技股份有限公司及其合并报表范围内的子公司｜出现期间：2025Q1/2024/2022
EXXX,联讯仪器,Broadcom,6.11%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,Avago Technologies U.S. INC./Broadcom 品牌｜出现期间：2022
EXXX,联讯仪器,讯速信远,5.92%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,成都讯速信远科技有限公司、讯速信远科技（苏州）有限公司等同一控制下公司｜出现期间：2025Q1/2022
EXXX,联讯仪器,三安光电,5.06%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,三安光电股份有限公司及其合并报表范围内的子公司｜出现期间：2023/2022
EXXX,艾睿电子,联讯仪器,7.49%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜艾睿电子中国有限公司及其同一控制下公司｜出现期间：2025Q1/2024/2023
EXXX,苏州苏汀达自动化科技有限公司,联讯仪器,5.62%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024/2023
EXXX,安徽恩玛尼科技有限公司,联讯仪器,4.63%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024/2022
EXXX,苏州康巨富自动化设备有限公司,联讯仪器,4.59%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024
EXXX,矽电股份,联讯仪器,4.33%,2025Q1,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜矽电半导体设备（深圳）股份有限公司｜出现期间：2025Q1
EXXX,苏州苏汀达自动化科技有限公司,联讯仪器,6.88%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024/2023
EXXX,PANGAEA,联讯仪器,6.06%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜PANGAEA (H.K.) LIMITED｜出现期间：2024/2023/2022
EXXX,苏州康巨富自动化设备有限公司,联讯仪器,5.41%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024
EXXX,安徽恩玛尼科技有限公司,联讯仪器,5.01%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024/2022
EXXX,艾睿电子,联讯仪器,4.79%,2024,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜艾睿电子中国有限公司及其同一控制下公司｜出现期间：2025Q1/2024/2023
EXXX,PANGAEA,联讯仪器,7.84%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜PANGAEA (H.K.) LIMITED｜出现期间：2024/2023/2022
EXXX,苏州苏汀达自动化科技有限公司,联讯仪器,5.30%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024/2023
EXXX,艾睿电子,联讯仪器,4.00%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜艾睿电子中国有限公司及其同一控制下公司｜出现期间：2025Q1/2024/2023
EXXX,苏州一诺兴精密机械有限公司,联讯仪器,4.00%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2023
EXXX,"Advanced Science and Novel Technology Company, Inc.",联讯仪器,3.86%,2023,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2023
EXXX,南京汉立德信息科技有限公司,联讯仪器,10.43%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2022
EXXX,雅创睿芯（深圳）科技有限公司,联讯仪器,6.00%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2022
EXXX,安徽恩玛尼科技有限公司,联讯仪器,5.94%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2025Q1/2024/2022
EXXX,PANGAEA,联讯仪器,5.25%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜PANGAEA (H.K.) LIMITED｜出现期间：2024/2023/2022
EXXX,苏州策林智能科技有限公司,联讯仪器,5.18%,2022,实边,联讯仪器IPO招股书申报稿,https://static.sse.com.cn/stock/disclosure/announcement/c/202508/002075_20250815_QAVG.pdf,v1.3待人工复核,（方向：供应商→联讯仪器）｜出现期间：2022
