relation_id,供方,需方,period,period_type,pct_or_amt,observe_type,source_edge_ids,conflict
R001,AAOI,ATX Networks,2021,year,25.6%,first_observed,E021,false
R001,AAOI,ATX Networks,2022,year,47.3%,observed,E021,false
R001,AAOI,ATX Networks,2023,year,15.6%,observed,E022,false
R001,AAOI,ATX Networks,2024,year,归零,censored,E022,false
R002,AAOI,Digicomm,2021,year,0%,first_observed,E023,false
R002,AAOI,Digicomm,2022,year,0%,observed,E023,false
R002,AAOI,Digicomm,2023,year,11.3%,observed,E023,false
R002,AAOI,Digicomm,2024,year,34.1%,observed,E024,false
R002,AAOI,Digicomm,2025,year,53.1%,last_observed,E025,false
R003,AAOI,Microsoft,2021,year,14.1%,first_observed,E017,false
R003,AAOI,Microsoft,2022,year,18.4%,observed,E017,false
R003,AAOI,Microsoft,2023,year,46.6%,observed,E017,false
R003,AAOI,Microsoft,2024,year,43.7%,observed,E018,false
R003,AAOI,Microsoft,2025,year,28.8%,last_observed,E019,false
R004,AAOI,Oracle,2022,year,5.9%,first_observed,E020,false
R004,AAOI,Oracle,2023,year,8.8%,observed,E020,false
R004,AAOI,Oracle,2024,year,12.4%,last_observed,E020,false
R005,Coherent,匿名客户(FY2023),FY2023,fiscal,10%,observed,E039,false
R006,Coherent,匿名客户(FY2024),FY2024,fiscal,10%,observed,E040,false
R007,Coherent,匿名客户1(FY2025),FY2025,fiscal,12%,observed,E041,false
R008,Coherent,匿名客户2(FY2025),FY2025,fiscal,10%,observed,E042,false
R009,Fabrinet,Acacia,FY2020,fiscal,10%,first_observed,E006,false
R010,Fabrinet,Cisco,FY2021,fiscal,10.7%,first_observed,E070,false
R010,Fabrinet,Cisco,FY2022,fiscal,25.4%,observed,E070,false
R010,Fabrinet,Cisco,FY2023,fiscal,15.6%,observed,E070,false
R010,Fabrinet,Cisco,FY2024,fiscal,13.4%,observed,E004,false
R010,Fabrinet,Cisco,FY2025,fiscal,18.2%,last_observed,E003,false
R011,Fabrinet,Infinera,FY2020,fiscal,10%,first_observed,E007,false
R011,Fabrinet,Infinera,FY2021,fiscal,11.6%,observed,E071,false
R011,Fabrinet,Infinera,FY2022,fiscal,12.5%,observed,E071,false
R011,Fabrinet,Infinera,FY2023,fiscal,12.4%,last_observed,E071,false
R012,Fabrinet,Lumentum,FY2020,fiscal,19%,first_observed,E005,false
R012,Fabrinet,Lumentum,FY2021,fiscal,13.6%,observed,E068,false
R012,Fabrinet,Lumentum,FY2022,fiscal,10.3%,observed,E068,false
R012,Fabrinet,Lumentum,FY2023,fiscal,42.5%,observed,E038,true
R012,Fabrinet,Lumentum,FY2023,fiscal,15.4%,observed,E068,true
R012,Fabrinet,Lumentum,FY2024,fiscal,30.3%,observed,E038,false
R012,Fabrinet,Lumentum,FY2025,fiscal,25.1%,last_observed,E038,false
R013,Fabrinet,NVIDIA,FY2023,fiscal,12.5%,first_observed,E069,false
R013,Fabrinet,NVIDIA,FY2024,fiscal,35.1%,observed,E002,false
R013,Fabrinet,NVIDIA,FY2025,fiscal,27.6%,last_observed,E001,false
R014,Lumentum,Apple,FY2021,fiscal,30.2%,first_observed,E026,false
R014,Lumentum,Apple,FY2022,fiscal,28.7%,observed,E027,false
R014,Lumentum,Apple,FY2023,fiscal,12.1%,observed,E028,false
R014,Lumentum,Apple,FY2024,fiscal,<10%退出表,censored,E028,false
R015,Lumentum,Ciena,FY2021,fiscal,10.1%,first_observed,E029,false
R015,Lumentum,Ciena,FY2022,fiscal,12.6%,observed,E030,false
R015,Lumentum,Ciena,FY2023,fiscal,15.3%,observed,E031,false
R015,Lumentum,Ciena,FY2024,fiscal,11.4%,observed,E032,false
R015,Lumentum,Ciena,FY2025,fiscal,16.0%,last_observed,E036,false
R016,Lumentum,Google,FY2024,fiscal,18.9%,first_observed,E035,false
R016,Lumentum,Google,FY2025,fiscal,15.4%,last_observed,E037,false
R017,Lumentum,Nokia,FY2023,fiscal,10.5%,first_observed,E034,false
R018,Lumentum,华为(含海思),FY2021,fiscal,10.8%,first_observed,E033,false
R018,Lumentum,华为(含海思),FY2022,fiscal,<10%退出表,censored,E033,false
R019,NeoPhotonics,Ciena,2017,year,16%,first_observed,E009,false
R019,NeoPhotonics,Ciena,2018,year,24%,observed,E009,false
R019,NeoPhotonics,Ciena,2019,year,29%,last_observed,E009,false
R020,NeoPhotonics,华为(含海思),2017,year,40%,first_observed,E008,false
R020,NeoPhotonics,华为(含海思),2018,year,46%,observed,E008,false
R020,NeoPhotonics,华为(含海思),2019,year,41%,observed,E008,false
R020,NeoPhotonics,华为(含海思),2020,year,40%,observed,E008,false
R020,NeoPhotonics,华为(含海思),2021,year,归零,confirmed_ended,E008,false
R021,中际旭创,PINEWAVE,2025,year,43378万美元(占同类关联交易100%),first_observed,E044,false
R022,中际旭创,客户A(匿名),2025,year,24.06%(9201495755.91元),observed,E055,false
R023,中际旭创,客户B(匿名),2025,year,18.26%(6981202208.21元),observed,E056,false
R024,中际旭创,客户C(匿名),2025,year,14.22%(5438189570.59元),observed,E057,false
R025,中际旭创,客户D(匿名),2025,year,11.34%(4337902496.40元),observed,E058,false
R026,供应商1(匿名),天孚通信,2025,year,34.81%(832889806.30元),observed,E066,false
R027,供应商A(匿名),中际旭创,2025,year,35.76%(8885926791.46元),observed,E059,false
R028,供应商第一名(匿名),新易盛,2023,year,15.03%,observed,E064,false
R028,供应商第一名(匿名),新易盛,2024,year,23.57%,observed,E064,false
R028,供应商第一名(匿名),新易盛,2025,year,23.87%(3666795583.83元),observed,E064,false
R029,光迅科技,客户1(匿名),2023,year,15.24%,observed,E075,false
R029,光迅科技,客户1(匿名),2024,year,12.42%,observed,E075,false
R029,光迅科技,客户1(匿名),2025,year,15.16%(1807934600.51元),observed,E075,false
R030,光迅科技,烽火通信,2023,year,5.59%(369224117.92元),first_observed,E074,false
R030,光迅科技,烽火通信,2024,year,跌出前五,censored,E074,false
R030,光迅科技,烽火通信,2025,year,跌出前五,censored,E074,false
R031,凯格精机,Fabrinet(疑似客户),2025,year,800G/1.6T组装产线交付,first_observed,E014,false
R032,凯格精机,第一名(匿名),2025,year,8.51%(94811977.48元),observed,E077,false
R033,南央国际,猎奇智能,2025,year,3.00%(2586.96万元),first_observed,E053,false
R034,博众精工,客户一(匿名),2025,year,32.82%(2154855900.00元),observed,E081,false
R035,天孚通信,Fabrinet,2023,year,53.61%(1039308855.95元),first_observed,E072,false
R035,天孚通信,Fabrinet,2024,year,61.69%(2005917035.59元),observed,E073,false
R035,天孚通信,Fabrinet,2025,year,63.31%(3268843594.94元),last_observed,E043,false
R036,天孚通信,客户2(匿名),2025,year,11.66%(601931536.36元),observed,E065,false
R037,奥普瑞,猎奇智能,2023,year,4.32%,first_observed,E052,false
R037,奥普瑞,猎奇智能,2024,year,5.81%,observed,E052,false
R037,奥普瑞,猎奇智能,2025,year,5.85%(5040.29万元),last_observed,E052,false
R038,奥特维,客户1(匿名),2025,year,15.35%(981740400.00元),observed,E080,false
R039,快克智能,客户一(匿名),2025,year,12.13%(131019640.80元),observed,E078,false
R040,新易盛,客户一(匿名),2023,year,36.79%(1139711326.47元),observed,E015,false
R041,新易盛,客户第一名(匿名),2024,year,31.74%,observed,E060,false
R041,新易盛,客户第一名(匿名),2025,year,22.97%(5706560719.37元),observed,E060,false
R042,新易盛,客户第三名(匿名),2024,year,12.15%,observed,E062,false
R042,新易盛,客户第三名(匿名),2025,year,15.63%(3881540609.61元),observed,E062,false
R043,新易盛,客户第二名(匿名),2024,year,12.39%,observed,E061,false
R043,新易盛,客户第二名(匿名),2025,year,16.64%(4133465492.45元),observed,E061,false
R044,新易盛,客户第四名(匿名),2025,year,10.96%(2721814735.32元),observed,E063,false
R045,新易盛,浙江粮油,2023-2025,year,收入确认政策点名,first_observed,E016,false
R046,星微科技,猎奇智能,2023,year,10.41%(2710.62万元),first_observed,E051,false
R046,星微科技,猎奇智能,2024,year,6.54%,observed,E051,false
R046,星微科技,猎奇智能,2025,year,4.63%,last_observed,E051,false
R047,普源精电,客户1(匿名),2025,year,12.73%(112631500.00元),observed,E079,false
R048,津微光电,猎奇智能,2024,year,3.69%(1007.62万元),first_observed,E054,false
R049,派克新材,等离子体所(客户),2025-09,month,815万元中标,first_observed,E013,false
R050,猎奇智能,中际旭创,2023,year,62.19%,first_observed,E045,false
R050,猎奇智能,中际旭创,2024,year,58.85%,observed,E010;E045,false
R050,猎奇智能,中际旭创,2025,year,53.42%,last_observed,E045,false
R051,猎奇智能,光迅科技,2024,year,11.23%(6097.74万元),first_observed,E048,false
R051,猎奇智能,光迅科技,2025,year,跌出前五,censored,E048,false
R052,猎奇智能,客户五(匿名),2023,year,11.32%(3273.09万元),observed,E067,false
R052,猎奇智能,客户五(匿名),2024,year,3.48%,observed,E067,false
R052,猎奇智能,客户五(匿名),2025,year,3.74%,observed,E067,false
R053,猎奇智能,源杰科技,2023,year,10.77%(3115.80万元),first_observed,E049,false
R053,猎奇智能,源杰科技,2024,year,跌出前五,censored,E049,false
R053,猎奇智能,源杰科技,2025,year,跌出前五,censored,E049,false
R054,猎奇智能,索尔思(Source Photonics),2025,year,6.55%(4569.15万元),first_observed,E047,false
R055,猎奇智能,索恩格,2023,year,6.89%,first_observed,E046,false
R055,猎奇智能,索恩格,2024,year,6.27%,observed,E046,false
R055,猎奇智能,索恩格,2025,year,10.12%(7059.21万元),last_observed,E046,false
R056,猎奇智能,索恩格(SEG Automotive),2024,year,3.00%,first_observed,E050,false
R056,猎奇智能,索恩格(SEG Automotive),2025,year,5.58%(3890.49万元),last_observed,E050,false
R057,罗博特科/ficonTEC,NVIDIA,2024,year,在手订单2433.83万欧元(至2024-07-31),first_observed,E012,false
R058,罗博特科/ficonTEC,博通(Broadcom),2024,year,已交付14台CPO耦合设备,first_observed,E011,false
R059,罗博特科/ficonTEC,客户一(匿名),2025,year,19.35%(183805309.74元),observed,E076,false
R060,联讯仪器,Power Master,2025Q1,quarter,9.06%(1821.39万元),first_observed,E082,false
R061,联讯仪器,三安光电,2022,year,5.06%(1084.04万元),first_observed,E095,false
R061,联讯仪器,三安光电,2023,year,6.81%(1876.87万元),last_observed,E091,false
R062,联讯仪器,中际旭创,2023,year,14.75%(4068.26万元),first_observed,E090,false
R062,联讯仪器,中际旭创,2024,year,6.26%,last_observed,E088,false
R063,联讯仪器,光迅科技,2022,year,11.53%(2471.91万元),first_observed,E093,false
R063,联讯仪器,光迅科技,2024,year,7.57%,last_observed,E085,false
R064,联讯仪器,博通(Broadcom),2022,year,6.11%(1310.23万元),first_observed,E094,false
R065,联讯仪器,士兰微,2024,year,6.92%,first_observed,E086,false
R066,联讯仪器,新易盛,2025Q1,quarter,8.29%(1668.10万元),first_observed,E083,false
R067,联讯仪器,海信集团,2022,year,14.02%(3005.18万元),first_observed,E092,false
R067,联讯仪器,海信集团,2023,year,15.33%(4227.19万元),observed,E089,false
R067,联讯仪器,海信集团,2024,year,6.54%,last_observed,E087,false
R068,联讯仪器,讯速信远,2025Q1,quarter,5.47%(1100.78万元),first_observed,E084,false
R069,联讯仪器,集团一(匿名),2023,year,9.90%(2730.72万元),first_observed,E096;E098,false
R069,联讯仪器,集团一(匿名),2024,year,16.92%,observed,E096;E097,false
R069,联讯仪器,集团一(匿名),2025Q1,quarter,35.51%(7140.45万元),last_observed,E096,false
R070,联讯仪器,集团二(匿名),2023,year,6.03%,observed,E099,false
