公司,对手方,方向,剔除规则
博创科技,长飞光纤光缆有限公司,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,PT.Yangtze Optics Indonesia,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,YOFC International USA Corporation,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,长飞光纤光缆汉川有限公司,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,YOFC International  Telecomumicacoes Ltda,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,YOFC Peru S.A.C.,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,YOFC International  Proprietary Limited,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞光纤潜江有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞光坊科技有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞光纤光缆汉川有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞石英技术有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,成都蓉博通信技术有限公司,担保(公司为子公司担保),非供货方向
博创科技,长飞石英技术有限公司,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,YOFC Perú S.A.C.,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞光纤光缆有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,PT. YOFC International Indonesia,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,YOFC Brasil Cabos e Solucoes Ltda,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞光纤光缆有限公司,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,PT.Yangtze Optics Indonesia,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,YOFC International USA Corporation,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,长飞光纤光缆汉川有限公司,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,PT Yangtze Optical Fibre Indonesia,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,Yangtze Optical Fibre and Cable Company  Limited,采购(对手方→公司),"长飞系个体行,由合并边承载"
博创科技,长飞光纤光缆汉川有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞石英技术有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
博创科技,长飞光纤光缆有限公司,销售(公司→对手方),"长飞系个体行,由合并边承载"
仕佳光子,河南仕佳信息技术有限公司,担保(对手方为公司担保/本公司为被担保方),非供货方向
仕佳光子,葛海泉,担保(对手方为公司担保/本公司为被担保方),非供货方向
仕佳光子,葛海泉、耿树霞,担保(对手方为公司担保/本公司为被担保方),非供货方向
源杰科技,中际旭创股份有限公司,股权关系(间接持股5%以上股东),非供货方向
华工科技,武汉武钢华工激光大型装备有限公司,供应商,华工非光链关联方/坏账
华工科技,武汉华日精密激光股份有限公司,供应商,华工非光链关联方/坏账
华工科技,深圳市艾贝特电子科技有限公司,供应商,华工非光链关联方/坏账
华工科技,武汉东湖华科投资管理有限公司,供应商,华工非光链关联方/坏账
华工科技,宝鸡华工激光科技有限公司,供应商,华工非光链关联方/坏账
华工科技,武汉武钢华工激光大型装备有限公司,客户,华工非光链关联方/坏账
华工科技,武汉华日精密激光股份有限公司,客户,华工非光链关联方/坏账
华工科技,武汉华锐超快光纤激光技术有限公司,客户,华工非光链关联方/坏账
华工科技,宝鸡华工激光科技有限公司,客户,华工非光链关联方/坏账
华工科技,武汉超擎数智科技有限公司,客户,华工非光链关联方/坏账
华工科技,上海华工恒锐激光科技有限公司,客户,华工非光链关联方/坏账
华工科技,武汉华工智云科技有限公司,客户,华工非光链关联方/坏账
华工科技,武汉正信光学科技有限公司,客户,华工非光链关联方/坏账
华工科技,湖南猎豹汽车股份有限公司长沙分公司,客户,华工非光链关联方/坏账
华工科技,武汉华日科仪激光科技有限公司,客户,华工非光链关联方/坏账
华工科技,凌云华工智能系统有限公司,客户,华工非光链关联方/坏账
华工科技,武汉东湖创新科技投资有限公司,客户,华工非光链关联方/坏账
华工科技,武汉华工瑞源科技创业投资有限公司,客户,华工非光链关联方/坏账
华工科技,湖北美洋汽车工业有限公司,客户,华工非光链关联方/坏账
华工科技,深圳市力诺特新型包装材料有限公司,客户,华工非光链关联方/坏账
华工科技,珠海格力电器股份有限公司香洲分公司,客户,华工非光链关联方/坏账
华工科技,深圳市绩业实业有限公司,客户,华工非光链关联方/坏账
华工科技,重庆市林正机械有限公司,客户,华工非光链关联方/坏账
华工科技,长春市数控机电设备有限公司,客户,华工非光链关联方/坏账
华工科技,江苏菲雅新能源车业有限公司,客户,华工非光链关联方/坏账
华工科技,华工数智科技有限公司,供应商,华工非光链关联方/坏账
华工科技,武汉华工瑞源科技创业投资有限公司,供应商,华工非光链关联方/坏账
华工科技,武汉雷神特种器材有限公司,客户,华工非光链关联方/坏账
华工科技,哈尔滨灵动智能装备有限公司,客户,华工非光链关联方/坏账
华工科技,江苏荣邦微电子有限公司,客户,华工非光链关联方/坏账
华工科技,哈尔滨大东方卷烟材料科技开发有限责任公司,客户,华工非光链关联方/坏账
华工科技,天津福瑞德电子科技有限公司,客户,华工非光链关联方/坏账
华工科技,重庆铃耀汽车有限公司,客户,华工非光链关联方/坏账
华工科技,武汉华星光电半导体显示技术有限公司,客户,华工非光链关联方/坏账
华工科技,珠海市江海电子股份有限公司,客户,华工非光链关联方/坏账
华工科技,深圳市盈志达电子有限公司,客户,华工非光链关联方/坏账
华工科技,Haier Group Dalian Electric,客户,华工非光链关联方/坏账
华工科技,北京铭阳天诚有限公司,客户,华工非光链关联方/坏账
华工科技,新昌县精通机械有限公司,客户,华工非光链关联方/坏账
华工科技,上海双北机械有限公司,客户,华工非光链关联方/坏账
华工科技,武汉华工正源光子技术有限公司,子公司(集团内),非供货方向
剑桥科技,上海神舟新能源发展有限公司,供应商(房屋租赁-出租方),非光链主体
剑桥科技,SCS DEVELOPMENT JV LLC,供应商(房屋租赁-出租方),非光链主体
仕佳光子,淇县海强盘具销售部,供应商,非光链主体
