月份,HS编码,出口量kg,金额,币种,来源文件,口径,抓取日期
202401,85177950,257644,447062632,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202402,85177950,228453,389531110,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202403,85177950,325654,502433846,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202404,85177950,314989,542655299,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202405,85177950,325597,578656093,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202406,85177950,347548,579876291,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202407,85177950,331285,528174848,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202408,85177950,353987,515838158,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202409,85177950,338059,505605485,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202410,85177950,341862,531661207,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202411,85177950,365072,567232563,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202412,85177950,369744,544019645,USD,customs-85177950-2024-monthly-usd.csv,月度直查,2026-07-23
202501,85177950,352749,3226300089,RMB,customs-85177950-202501-breakdown-rmb.csv,四维分拆聚合,2026-07-23
202601,85177950,344848,499139405,USD,customs-85177950-2026H1-breakdown-usd.csv,四维分拆聚合,2026-07-23
202602,85177950,284483,419680617,USD,customs-85177950-2026H1-breakdown-usd.csv,四维分拆聚合,2026-07-23
202603,85177950,299335,501001535,USD,customs-85177950-2026H1-breakdown-usd.csv,四维分拆聚合,2026-07-23
202604,85177950,358697,615462699,USD,customs-85177950-2026H1-breakdown-usd.csv,四维分拆聚合,2026-07-23
202605,85177950,387115,680876902,USD,customs-85177950-2026H1-breakdown-usd.csv,四维分拆聚合,2026-07-23
202606,85177950,412586,711228732,USD,customs-85177950-2026H1-breakdown-usd.csv,四维分拆聚合,2026-07-23
