月份,贸易伙伴,出口量kg,金额,币种,来源文件
202501,不丹,3,4496,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,中国台湾,20112,173694899,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,中国澳门,5,58459,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,中国香港,10404,120940250,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,中非,41,92067,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,丹麦,512,2376746,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,乌克兰,444,1940317,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,乌兹别克斯坦,238,1369541,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,乌干达,112,487632,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,乌拉圭,36,217962,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,乍得,14,20321,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,也门,143,7732397,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,亚美尼亚,28,45436,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,以色列,822,5098638,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,伊拉克,1505,616678,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,伊朗,958,152768,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,佛得角,6,6600,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,俄罗斯,8627,21971695,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,保加利亚,41,275702,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,克罗地亚,43,13947,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,冈比亚,1,1725,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,冰岛,211,9679839,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,几内亚,1172,1106970,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,列支敦士登,3,28781,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,刚果民主共和国,40,24204,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,利比亚,23,84739,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,利比里亚,3,62413,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,加拿大,2538,8379188,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,加纳,11,10536,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,加蓬,0,75,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,匈牙利,4263,30240512,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,北马其顿,1,1990,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,南苏丹,31,2653,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,南非,896,1932627,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,博茨瓦纳,46,180261,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,卡塔尔,16,78903,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,卢旺达,0,16948,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,印度,9217,19700475,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,印度尼西亚,3718,16553422,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,危地马拉,2,1687,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,厄瓜多尔,90,443728,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,吉尔吉斯斯坦,172,202544,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,哈萨克斯坦,256,2373777,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,哥伦比亚,362,1759802,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,哥斯达黎加,9,138407,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,喀麦隆,40,303728,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,土库曼斯坦,4,7079,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,土耳其,1324,4134741,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,坦桑尼亚,222,80876,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,埃及,424,529506,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,埃塞俄比亚,113,216436,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,基里巴斯,1,1639,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,塔吉克斯坦,85,3617960,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,塞尔维亚,28,77383,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,塞浦路斯,6,5332,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,塞舌尔,3,2454,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,墨西哥,10411,125522094,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,多哥,4,7188,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,"多米尼加
",19,19771,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,奥地利,61,438034,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,委内瑞拉,4,29217,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,孟加拉国,213,1483344,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,安哥拉,74,391700,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,尼加拉瓜,34,11501,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,尼日利亚,369,200660,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,尼泊尔,24,96121,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,巴基斯坦,125,283523,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,巴布亚新几内亚,1,31300,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,巴拉圭,13,18175,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,巴拿马,840,1750683,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,巴林,8,66732,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,巴西,4781,17366022,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,布基纳法索,5,1184,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,希腊,278,73254,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,德国,9299,42930151,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,意大利,232,1400996,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,拉脱维亚,677,1896607,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,挪威,1224,13071099,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,捷克,4539,21349470,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,摩尔多瓦,21,45785,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,摩洛哥,35,104451,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,文莱,6,27240,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,斐济,3,6719,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,斯洛伐克,89,2096577,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,斯洛文尼亚,44,114871,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,斯里兰卡,196,335437,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,新加坡,6378,69820179,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,新西兰,63,315480,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,日本,3362,23065003,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,智利,174,704183,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,柬埔寨,114,504115,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,格鲁吉亚,103,1114490,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,比利时,947,3713524,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,毛里塔尼亚,2,4037,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,毛里求斯,10,19336,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,沙特阿拉伯,441,886222,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,法国,1509,6804079,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,法属圭亚那,0,216,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,法罗群岛,0,2375,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,波兰,859,4463982,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,波斯尼亚和黑塞哥维那,4,13650,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,泰国,22854,273020820,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,津巴布韦,0,1204,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,洪都拉斯,13,30055,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,澳大利亚,747,4229568,RMB,customs-85177950-202501-breakdown-rmb.csv
202501,爱尔兰,6002,42339232,RMB,customs-85177950-202501-breakdown-rmb.csv
