月份,注册地,贸易伙伴,出口量kg,金额USD
202501,上海市,美国,10919,19307080
202501,上海市,马来西亚,1841,917392
202501,上海市,泰国,243,588745
202501,上海市,中国台湾,18,8127
202501,上海市,墨西哥,88,126798
202501,上海市,中国香港,88,320619
202501,上海市,荷兰,556,317106
202501,上海市,新加坡,17,24507
202501,上海市,其他,3729,1994909
202501,北京市,美国,52,472150
202501,北京市,泰国,2,1226
202501,北京市,中国香港,19,27186
202501,北京市,新加坡,11,12715
202501,北京市,其他,375,172725
202501,四川省,美国,28359,84284228
202501,四川省,马来西亚,10,60081
202501,四川省,泰国,5760,8979379
202501,四川省,中国台湾,7595,9196557
202501,四川省,墨西哥,1187,2486733
202501,四川省,中国香港,335,1006374
202501,四川省,荷兰,2816,2548258
202501,四川省,新加坡,202,663899
202501,四川省,其他,11664,9585254
202501,天津市,荷兰,6,1056
202501,天津市,其他,22,2263
202501,安徽省,美国,1,8220
202501,安徽省,马来西亚,8,25342
202501,安徽省,泰国,1757,2428398
202501,安徽省,中国台湾,8,2550
202501,安徽省,中国香港,143,34061
202501,安徽省,新加坡,5,516
202501,安徽省,其他,2059,310778
202501,山东省,美国,17,96052
202501,山东省,马来西亚,349,55709
202501,山东省,泰国,478,16407
202501,山东省,中国台湾,315,66036
202501,山东省,墨西哥,13,888
202501,山东省,中国香港,101,39710
202501,山东省,新加坡,8,6963
202501,山东省,其他,2266,260146
202501,广东省,美国,15366,11328928
202501,广东省,马来西亚,2171,2275393
202501,广东省,泰国,1755,4654081
202501,广东省,中国台湾,6710,5194361
202501,广东省,墨西哥,702,517461
202501,广东省,中国香港,4942,3514156
202501,广东省,荷兰,5108,2424489
202501,广东省,新加坡,1935,4037545
202501,广东省,其他,48957,30149139
202501,广西壮族自治区,美国,6,514
202501,广西壮族自治区,马来西亚,0,6
202501,广西壮族自治区,泰国,4,2081
202501,广西壮族自治区,墨西哥,0,107
202501,广西壮族自治区,新加坡,28,3182
202501,广西壮族自治区,其他,2563,829530
202501,新疆维吾尔自治区,泰国,6318,24640
202501,新疆维吾尔自治区,其他,13,821
202501,江苏省,美国,59115,62937031
202501,江苏省,马来西亚,27802,66178489
202501,江苏省,泰国,2906,15245334
202501,江苏省,中国台湾,1538,4730579
202501,江苏省,墨西哥,3281,10346286
202501,江苏省,中国香港,2837,8764422
202501,江苏省,荷兰,673,1070305
202501,江苏省,新加坡,1258,1000462
202501,江苏省,其他,15762,8172714
202501,江西省,美国,1,250
202501,江西省,马来西亚,6,277
202501,江西省,泰国,140,187968
202501,江西省,新加坡,157,12873
202501,江西省,其他,1,2627
202501,河北省,中国台湾,181,30221
202501,河北省,其他,355,106405
202501,河南省,马来西亚,0,3
202501,河南省,墨西哥,0,7
202501,河南省,中国香港,8,17482
202501,河南省,新加坡,1,4364
202501,河南省,其他,48,70082
202501,浙江省,美国,146,97879
202501,浙江省,马来西亚,219,122449
202501,浙江省,泰国,90,84841
202501,浙江省,中国台湾,3436,4624211
202501,浙江省,墨西哥,50,32648
202501,浙江省,中国香港,1467,1976711
202501,浙江省,荷兰,136,79215
202501,浙江省,新加坡,650,863957
202501,浙江省,其他,5046,2757044
202501,海南省,泰国,0,1198
202501,海南省,其他,21,2482
202501,湖北省,美国,10870,15261841
202501,湖北省,马来西亚,5465,3405754
202501,湖北省,泰国,3327,5727937
202501,湖北省,中国台湾,280,286829
202501,湖北省,墨西哥,5083,3946011
202501,湖北省,中国香港,375,937191
202501,湖北省,荷兰,5305,3449772
202501,湖北省,新加坡,2047,3044430
202501,湖北省,其他,11109,10480766
202501,湖南省,美国,0,3352
202501,湖南省,马来西亚,106,74130
202501,湖南省,中国台湾,23,11550
202501,湖南省,其他,307,140194
202501,福建省,美国,1,423
202501,福建省,马来西亚,34,38592
202501,福建省,泰国,63,36272
202501,福建省,中国台湾,8,9773
202501,福建省,墨西哥,3,4180
202501,福建省,中国香港,19,31512
202501,福建省,新加坡,21,5690
202501,福建省,其他,306,288684
202501,贵州省,美国,0,5
202501,贵州省,马来西亚,0,6
202501,贵州省,泰国,1,208
202501,贵州省,墨西哥,1,25
202501,贵州省,中国香港,6,1605
202501,贵州省,新加坡,38,31716
202501,贵州省,其他,229,59742
202501,辽宁省,其他,67,80328
202501,重庆市,泰国,10,2696
202501,重庆市,其他,29,23129
202501,陕西省,墨西哥,3,414
202501,陕西省,中国香港,64,154000
202501,陕西省,其他,174,307196
202501,黑龙江省,其他,24,7418
202502,上海市,美国,2919,17277733
202502,上海市,马来西亚,1958,1210845
202502,上海市,泰国,276,428919
202502,上海市,中国台湾,31,10897
202502,上海市,墨西哥,66,126000
202502,上海市,中国香港,68,98193
202502,上海市,荷兰,37,28646
202502,上海市,新加坡,40,6316
202502,上海市,其他,968,556199
202502,云南省,其他,1,37
202502,北京市,美国,3,7221
202502,北京市,墨西哥,1,3540
202502,北京市,中国香港,12,40725
202502,北京市,新加坡,1,518
202502,北京市,其他,201,286904
202502,四川省,美国,17455,55755142
202502,四川省,马来西亚,32,41895
202502,四川省,泰国,8729,16669409
202502,四川省,中国台湾,6732,8691771
202502,四川省,墨西哥,1112,3159611
202502,四川省,中国香港,341,670586
202502,四川省,荷兰,1109,825643
202502,四川省,新加坡,105,298953
202502,四川省,其他,7528,4200755
202502,天津市,中国台湾,42,5239
202502,天津市,其他,98,5740
202502,安徽省,美国,1,9960
202502,安徽省,泰国,1,533
202502,安徽省,中国台湾,32,9313
202502,安徽省,中国香港,51,199636
202502,安徽省,其他,885,266162
202502,山东省,美国,25,13203
202502,山东省,马来西亚,1690,5553022
202502,山东省,泰国,4,2280
202502,山东省,中国台湾,318,82049
202502,山东省,墨西哥,187,10994
202502,山东省,中国香港,278,134309
202502,山东省,新加坡,300,31529
202502,山东省,其他,1170,226602
202502,广东省,美国,9390,12145277
202502,广东省,马来西亚,2162,2216911
202502,广东省,泰国,1507,2733261
202502,广东省,中国台湾,6503,4462738
202502,广东省,墨西哥,888,905911
202502,广东省,中国香港,1595,1917698
202502,广东省,荷兰,2653,1211192
202502,广东省,新加坡,4031,2695487
202502,广东省,其他,39617,26340921
202502,广西壮族自治区,美国,3,266
202502,广西壮族自治区,马来西亚,0,2450
202502,广西壮族自治区,泰国,1,356
202502,广西壮族自治区,墨西哥,5,200
202502,广西壮族自治区,荷兰,0,7
202502,广西壮族自治区,新加坡,3,713
202502,广西壮族自治区,其他,219,270122
202502,新疆维吾尔自治区,其他,20,12569
202502,江苏省,美国,32702,28377359
202502,江苏省,马来西亚,41854,78446363
202502,江苏省,泰国,2131,6019504
202502,江苏省,中国台湾,338,697396
202502,江苏省,墨西哥,1271,3955526
202502,江苏省,中国香港,2000,3916388
202502,江苏省,荷兰,908,1476181
202502,江苏省,新加坡,1076,641670
202502,江苏省,其他,9845,5123096
202502,河北省,中国台湾,183,36457
202502,河北省,其他,924,91059
202502,河南省,马来西亚,25,8305
202502,河南省,墨西哥,0,45
202502,河南省,中国香港,0,7
202502,河南省,新加坡,0,2571
202502,河南省,其他,175,245928
202502,浙江省,美国,46,59637
202502,浙江省,马来西亚,149,98930
202502,浙江省,泰国,4199,75107
202502,浙江省,中国台湾,3660,4325656
202502,浙江省,墨西哥,10,7371
202502,浙江省,中国香港,615,704152
202502,浙江省,荷兰,991,835004
202502,浙江省,新加坡,713,908629
202502,浙江省,其他,2586,1552125
202502,海南省,中国香港,93,60156
202502,湖北省,美国,2902,4875759
202502,湖北省,马来西亚,4305,3002145
202502,湖北省,泰国,1943,1164799
202502,湖北省,中国台湾,295,190539
202502,湖北省,墨西哥,1680,1794961
202502,湖北省,中国香港,401,827618
202502,湖北省,荷兰,2293,2003558
202502,湖北省,新加坡,779,819138
202502,湖北省,其他,7794,6830823
202502,湖南省,马来西亚,85,60390
202502,湖南省,泰国,13,15535
202502,湖南省,中国台湾,4,4800
202502,湖南省,中国香港,2,3574
202502,湖南省,其他,102,106007
202502,福建省,美国,2,2920
202502,福建省,马来西亚,17,21362
202502,福建省,泰国,5,4941
202502,福建省,中国台湾,31,29060
202502,福建省,墨西哥,0,17848
202502,福建省,中国香港,1,8215
202502,福建省,新加坡,45,53086
