月份,贸易伙伴,贸易方式,出口量kg,金额USD
202501,美国,一般贸易,57854,133634008
202501,美国,进料加工贸易,53084,41470218
202501,美国,海关特殊监管区域物流货物,11467,18291911
202501,美国,保税监管场所进出境货物,2445,393192
202501,美国,其他,3,8624
202501,马来西亚,进料加工贸易,26432,65085180
202501,马来西亚,一般贸易,11543,8042353
202501,马来西亚,海关特殊监管区域物流货物,29,23843
202501,马来西亚,保税监管场所进出境货物,5,1607
202501,马来西亚,其他,2,640
202501,泰国,一般贸易,21800,26174570
202501,泰国,进料加工贸易,874,11724388
202501,泰国,海关特殊监管区域物流货物,155,65102
202501,泰国,其他,12,10744
202501,泰国,保税监管场所进出境货物,13,6607
202501,中国台湾,进料加工贸易,10085,12297181
202501,中国台湾,一般贸易,9776,11400638
202501,中国台湾,海关特殊监管区域物流货物,250,462508
202501,中国台湾,保税监管场所进出境货物,1,467
202501,墨西哥,一般贸易,9147,15155209
202501,墨西哥,进料加工贸易,1229,2250433
202501,墨西哥,海关特殊监管区域物流货物,34,43708
202501,墨西哥,保税监管场所进出境货物,1,12208
202501,中国香港,一般贸易,7361,12878480
202501,中国香港,进料加工贸易,1021,2490390
202501,中国香港,海关特殊监管区域物流货物,2007,1433599
202501,中国香港,保税监管场所进出境货物,15,22560
202501,荷兰,一般贸易,13622,8553309
202501,荷兰,进料加工贸易,903,1163508
202501,荷兰,海关特殊监管区域物流货物,75,173384
202501,新加坡,一般贸易,3977,6141921
202501,新加坡,进料加工贸易,2274,3519022
202501,新加坡,海关特殊监管区域物流货物,31,50940
202501,新加坡,其他,96,936
202501,其他,一般贸易,86939,53645291
202501,其他,进料加工贸易,7206,6865859
202501,其他,海关特殊监管区域物流货物,9125,4679974
202501,其他,保税监管场所进出境货物,836,435272
202501,其他,对外承包工程出口货物,73,109199
202501,其他,其他,947,68781
202502,美国,一般贸易,30698,79657341
202502,美国,进料加工贸易,31428,23118173
202502,美国,海关特殊监管区域物流货物,2090,15544430
202502,美国,保税监管场所进出境货物,1233,203922
202502,美国,其他,0,785
202502,马来西亚,进料加工贸易,42073,78500182
202502,马来西亚,一般贸易,10168,12147403
202502,马来西亚,海关特殊监管区域物流货物,34,14719
202502,马来西亚,其他,2,735
202502,泰国,一般贸易,17939,22615620
202502,泰国,进料加工贸易,453,4396503
202502,泰国,海关特殊监管区域物流货物,443,115511
202502,泰国,其他,0,1393
202502,中国台湾,进料加工贸易,9440,11821857
202502,中国台湾,一般贸易,8616,6683820
202502,中国台湾,海关特殊监管区域物流货物,113,40238
202502,墨西哥,一般贸易,4633,8690186
202502,墨西哥,进料加工贸易,575,1271362
202502,墨西哥,其他,1,10774
202502,墨西哥,海关特殊监管区域物流货物,8,8430
202502,墨西哥,保税监管场所进出境货物,3,1347
202502,中国香港,一般贸易,3381,5034336
202502,中国香港,进料加工贸易,1280,2908089
202502,中国香港,海关特殊监管区域物流货物,825,669766
202502,中国香港,保税监管场所进出境货物,0,144
202502,荷兰,一般贸易,7139,5322526
202502,荷兰,进料加工贸易,846,901410
202502,荷兰,海关特殊监管区域物流货物,19,159491
202502,荷兰,保税监管场所进出境货物,2,1020
202502,新加坡,一般贸易,5291,3008683
202502,新加坡,进料加工贸易,1870,2525593
202502,新加坡,保税监管场所进出境货物,41,15694
202502,新加坡,海关特殊监管区域物流货物,22,7908
202502,其他,一般贸易,59584,37027936
202502,其他,进料加工贸易,4375,4144220
202502,其他,海关特殊监管区域物流货物,6516,2786942
202502,其他,保税监管场所进出境货物,2631,1301526
202502,其他,其他,45,1179896
202502,其他,边境小额贸易,20,12569
202502,其他,对外承包工程出口货物,18,42
202503,美国,一般贸易,47771,108502573
202503,美国,海关特殊监管区域物流货物,19362,49355700
202503,美国,进料加工贸易,39606,24216756
202503,美国,保税监管场所进出境货物,1061,162308
202503,美国,其他,6,12150
202503,马来西亚,进料加工贸易,63417,117339291
202503,马来西亚,一般贸易,43986,49877043
202503,马来西亚,海关特殊监管区域物流货物,36,31557
202503,马来西亚,其他,3,1721
202503,爱尔兰,一般贸易,16262,44827524
202503,爱尔兰,进料加工贸易,8329,2365865
202503,爱尔兰,海关特殊监管区域物流货物,1783,421987
202503,中国香港,一般贸易,6094,16258461
202503,中国香港,进料加工贸易,3850,10044944
202503,中国香港,海关特殊监管区域物流货物,1866,2517850
202503,中国香港,保税监管场所进出境货物,13,4141
202503,中国香港,其他,1,56
202503,泰国,一般贸易,14889,20193693
202503,泰国,进料加工贸易,601,6902325
202503,泰国,海关特殊监管区域物流货物,337,99345
202503,泰国,其他,0,594
202503,泰国,保税监管场所进出境货物,0,34
202503,中国台湾,一般贸易,13735,13872010
202503,中国台湾,进料加工贸易,9553,11338292
202503,中国台湾,海关特殊监管区域物流货物,192,59085
202503,中国台湾,保税监管场所进出境货物,131,338
202503,中国台湾,其他,0,84
202503,荷兰,一般贸易,11553,17221585
202503,荷兰,进料加工贸易,1614,1028662
202503,荷兰,海关特殊监管区域物流货物,251,308377
202503,荷兰,保税监管场所进出境货物,15,2317
202503,新加坡,一般贸易,7144,11654051
202503,新加坡,进料加工贸易,3262,5040171
202503,新加坡,海关特殊监管区域物流货物,534,276087
