edge_id,供方,需方,year,pct_or_amt,observe_type
E001,Fabrinet,NVIDIA,2025,27.6%,observed
E002,Fabrinet,NVIDIA,2024,35.1%,observed
E003,Fabrinet,Cisco,2025,18.2%,observed
E004,Fabrinet,Cisco,2024,13.4%,observed
E005,Fabrinet,Lumentum,2020,19%,observed
E006,Fabrinet,Acacia,2020,10%,observed
E007,Fabrinet,Infinera,2020,10%,observed
E008,NeoPhotonics,华为+海思,2017,40%,first_observed
E008,NeoPhotonics,华为+海思,2018,46%,observed
E008,NeoPhotonics,华为+海思,2019,41%,observed
E008,NeoPhotonics,华为+海思,2020,40%,last_observed
E008,NeoPhotonics,华为+海思,2021,归零,confirmed_ended
E009,NeoPhotonics,Ciena,2017,16%,first_observed
E009,NeoPhotonics,Ciena,2018,24%,observed
E009,NeoPhotonics,Ciena,2019,29%,last_observed
E010,猎奇智能,中际旭创(作为客户),2024,58.85%,observed
E011,ficonTEC(罗博特科),博通(客户),2024,已交付14台CPO耦合设备,observed
E012,ficonTEC(罗博特科),NVIDIA(客户),2024,在手订单2433.83万欧元(至2024-07-31),observed
E013,派克新材,等离子体所(客户),2025-09,815万元中标,observed
E014,凯格精机,Fabrinet(疑似客户),2025,800G/1.6T组装产线交付,observed
E015,新易盛,客户一(匿名),2023,36.79%(1139711326.47元),observed
E016,新易盛,浙江粮油(出口代理),2023-2025,收入确认政策点名,observed
E017,AAOI,Microsoft,2021,14.1%,first_observed
E017,AAOI,Microsoft,2022,18.4%,observed
E017,AAOI,Microsoft,2023,46.6%,last_observed
E018,AAOI,Microsoft,2024,43.7%,observed
E019,AAOI,Microsoft,2025,28.8%,observed
E020,AAOI,Oracle,2022,5.9%,first_observed
E020,AAOI,Oracle,2023,8.8%,observed
E020,AAOI,Oracle,2024,12.4%,last_observed
E021,AAOI,ATX Networks,2021,25.6%,first_observed
E021,AAOI,ATX Networks,2022,47.3%,last_observed
E022,AAOI,ATX Networks,2023,15.6%,observed
E022,AAOI,ATX Networks,2024,归零,censored
E023,AAOI,Digicomm,2021,0%,first_observed
E023,AAOI,Digicomm,2022,0%,observed
E023,AAOI,Digicomm,2023,11.3%,last_observed
E024,AAOI,Digicomm,2024,34.1%,observed
E025,AAOI,Digicomm,2025,53.1%,observed
E026,Lumentum,Apple,2021,30.2%,observed
E027,Lumentum,Apple,2022,28.7%,observed
E028,Lumentum,Apple,2023,12.1%,observed
E028,Lumentum,Apple,2024,<10%退出表,censored
E029,Lumentum,Ciena,2021,10.1%,observed
E030,Lumentum,Ciena,2022,12.6%,observed
E031,Lumentum,Ciena,2023,15.3%,observed
E032,Lumentum,Ciena,2024,11.4%,observed
E033,Lumentum,华为,2021,10.8%,observed
E033,Lumentum,华为,2022,<10%退出表,censored
E034,Lumentum,Nokia,2023,10.5%,observed
E035,Lumentum,Google,2024,18.9%,observed
E036,Lumentum,Ciena(解匿),2025,16.0%,observed
E037,Lumentum,Google(解匿),2025,15.4%,observed
E038,Fabrinet(解匿),Lumentum,2023,42.5%,first_observed
E038,Fabrinet(解匿),Lumentum,2024,30.3%,observed
E038,Fabrinet(解匿),Lumentum,2025,25.1%,last_observed
E039,Coherent,匿名客户(FY2023),2023,10%,observed
E040,Coherent,匿名客户(FY2024),2024,10%,observed
E041,Coherent,匿名客户1(FY2025),2025,12%,observed
E042,Coherent,匿名客户2(FY2025),2025,10%,observed
E043,天孚通信,Fabrinet,2025,63.31%(3268843594.94元),observed
E044,中际旭创,PINEWAVE(关联方),2025,43378万美元(占同类关联交易100%),observed
E045,猎奇智能,中际旭创,2023,62.19%,first_observed
E045,猎奇智能,中际旭创,2024,58.85%,observed
E045,猎奇智能,中际旭创,2025,53.42%,last_observed
E046,猎奇智能,索恩格,2023,6.89%,first_observed
E046,猎奇智能,索恩格,2024,6.27%,observed
E046,猎奇智能,索恩格,2025,10.12%(7059.21万元),last_observed
E047,猎奇智能,索尔思(Source Photonics),2025,6.55%(4569.15万元),observed
E048,猎奇智能,光迅科技,2024,11.23%(6097.74万元),observed
E048,猎奇智能,光迅科技,2025,跌出前五,censored
E049,猎奇智能,源杰科技,2023,10.77%(3115.80万元),observed
E049,猎奇智能,源杰科技,2024,跌出前五,censored
E049,猎奇智能,源杰科技,2025,跌出前五,censored
E050,猎奇智能,苏世博,2024,3.00%,first_observed
E050,猎奇智能,苏世博,2025,5.58%(3890.49万元),last_observed
E051,星微科技,猎奇智能,2023,10.41%(2710.62万元),first_observed
E051,星微科技,猎奇智能,2024,6.54%,observed
E051,星微科技,猎奇智能,2025,4.63%,last_observed
E052,奥普瑞,猎奇智能,2023,4.32%,first_observed
E052,奥普瑞,猎奇智能,2024,5.81%,observed
